Nr,Kod stacji,Kod międzynarodowy,Nazwa stacji,"Stary Kod stacji (o ile inny od aktualnego)",Data uruchomienia,Data zamknięcia,Typ stacji,Typ obszaru,Rodzaj stacji,Województwo,Miejscowość,Adres,WGS84 φ N,WGS84 λ E
407,LuNowasoWSSE,PL0380A,WSSE - Nowa Sól,,1990-01-03,2008-12-31,tło,miejski,w budynku,LUBUSKIE,Nowa Sól,ul. Wojska Polskiego 11,51.802500,15.715014
408,LuSlubWIOS_AUT,PL0210A,Słubice ul. Woj Pol,,2005-01-01,2010-12-31,tło,miejski,kontenerowa stacjonarna,LUBUSKIE,Słubice,ul. Wojska Polskiego,52.355833,14.564167
409,LuSlubWSSE,PL0381A,WSSE - Słubice,,1988-02-01,2009-12-31,tło,miejski,w budynku,LUBUSKIE,Słubice,ul. Mickiewicza 4,52.350278,14.557222
410,LuSmolBytnic,PL0211A,Smolary Bytnickie,LuSmobytWIOS_AUT,2005-01-01,,tło,pozamiejski,kontenerowa stacjonarna,LUBUSKIE,Smolary Bytnickie,Smolary Bytnickie 45A,52.172222,15.206667
411,LuSulecDudka,PL0575A,Sulęcin ul. Dudka,LuSulecWIOS_MOB,2011-01-26,,tło,miejski,kontenerowa stacjonarna,LUBUSKIE,Sulęcin,ul. Dudka,52.437722,15.122444
412,LuSuleciWSSE,PL0382A,WSSE - Sulęcin,,1992-01-02,2009-12-31,tło,miejski,w budynku,LUBUSKIE,Sulęcin,ul. Magazynowa,52.449722,15.116944
413,LuSwiebodMOB,PL0766A,"Świebodzin,ul. Gen.W.Sikorskiego",,2020-01-09,2020-12-31,tło,miejski,mobilna,LUBUSKIE,Świebodzin,ul. Gen.W.Sikorskiego 25,52.245444,15.527571
414,LuSwieboWIOS_MOB,PL0383A,"Świebodzin, ul. Łąki Zamkowe",,2008-01-07,2009-01-14,tło,miejski,mobilna,LUBUSKIE,Świebodzin,ul. Łąki Zamkowe,52.247778,15.534722
415,LuSwieboWSSE,PL0384A,WSSE - Świebodzin,,1990-05-25,2009-12-31,tło,miejski,w budynku,LUBUSKIE,Świebodzin,ul. 1 Maja 10,52.251111,15.531667
416,LuWsKaziWiel,PL0212A,Wschowa ul. Kazimierza Wielkiego,LuWschowWIOS_AUT,2005-01-01,,tło,miejski,kontenerowa stacjonarna,LUBUSKIE,Wschowa,ul. Kazimierza Wielkiego,51.799722,16.317500
417,LuZaganKochaMOB,PL0805A,"Żagań, ul. Kochanowskiego",,2022-01-05,2022-12-31,tło,miejski,mobilna,LUBUSKIE,Żagań,ul. Kochanowskiego 6,51.615447,15.301667
418,LuZaganWSSE,PL0385A,WSSE - Żagań,,1991-01-14,2009-12-31,tło,miejski,w budynku,LUBUSKIE,Żagań,ul. Szprotawska 25A,51.612500,15.328889
419,LuZarySzyman,PL0591A,"Żary, ul. Szymanowskiego",LuZaryWIOS_AUT,2012-09-01,,tło,miejski,kontenerowa stacjonarna,LUBUSKIE,Żary,ul. Szymanowskiego 8,51.642656,15.127808
420,LuZaryWIOS_MAN,PL0513A,Żary ul. Podchorążych,,2010-01-01,2010-12-31,tło,miejski,w budynku,LUBUSKIE,Żary,ul. Podchorążych,51.639900,15.136131
421,LuZaryWIOS_MOB,PL0514A,Żary ul. Chopina,,2010-01-26,2010-12-31,tło,miejski,mobilna,LUBUSKIE,Żary,ul. Chopina,51.641500,15.127500
422,LuZaryWSSE,PL0386A,WSSE - Żary,,1998-06-01,2009-12-31,tło,miejski,w budynku,LUBUSKIE,Żary,ul. Podchorążych 23a,51.640000,15.135556
423,LuZaryWSSE_2,PL0387A,WSSE - Żary ul. 1Maja,,2006-01-01,2009-12-31,tło,miejski,BRAK DANYCH,LUBUSKIE,Żary,ul. 1 Maja,51.634444,15.141111
424,LuZgoraWSSE_1,PL0388A,WSSE - Zielona Góra ul. Jasna,,1989-03-12,2009-12-31,tło,miejski,w budynku,LUBUSKIE,Zielona Góra,ul. Jasna 10,51.930000,15.503056
425,LuZielKrotka,PL0213A,Zielona Góra ul. Krótka,LuZgoraWIOS_AUT,2005-01-01,,tło,miejski,kontenerowa stacjonarna,LUBUSKIE,Zielona Góra,ul. Krótka,51.939783,15.518861
426,LuZielWyszyn,PL0711A,"Zielona Góra,ul.Wyszyńskiego",,2022-07-14,,komunikacyjna,miejski,kontenerowa stacjonarna,LUBUSKIE,Zielona Góra,Wyszyńskiego,51.936249,15.481077
427,MpAndrycWSSEKrak1801,,Andrychów Krakowska,,2001-01-01,2009-12-31,tło,miejski,w budynku,MAŁOPOLSKIE,Andrychów,ul. Krakowska 86,49.853333,19.340556
428,MpBochKonfed,PL0549A,"Bochnia, ul. Konfederatów Barskich",MpBochniWIOSKBar0106,2011-01-01,,tło,miejski,wolnostojący pobornik pyłu,MAŁOPOLSKIE,Bochnia,ul. Konfederatów Barskich,49.969017,20.439511
429,MpBochniWSSEKazi0104,PL0302A,Bochnia Kazimierza Wielkiego 67,,2003-01-01,2008-12-31,tło,miejski,w budynku,MAŁOPOLSKIE,Bochnia,ul. Kazimierza Wielkiego 67,49.959167,20.420556
430,MpBochniWSSEKons0105,PL0389A,Bochnia Kostytucji 3 Maja Nr 5,,2004-01-01,2010-12-31,tło,miejski,BRAK DANYCH,MAŁOPOLSKIE,Bochnia,ul. Kostytucji 3 Maja Nr 5,49.972778,20.428056
431,MpBochniWSSESoln0102,,Bochnia Solna,,2003-01-01,2003-12-31,tło,miejski,BRAK DANYCH,MAŁOPOLSKIE,Bochnia,ul. Solna,49.970000,20.432222
432,MpBrzeskWIOSWiej0202,PL0626A,"Brzesko, ul. Wiejska",,2014-01-01,2014-12-31,tło,miejski,mobilna,MAŁOPOLSKIE,Brzesko,ul. Wiejska,49.975953,20.603222
433,MpBrzeskWSSEGlow0201,PL0390A,Brzesko Głowackiego,,2001-01-01,2008-12-31,tło,miejski,w budynku,MAŁOPOLSKIE,Brzesko,ul. Głowackiego 51,49.967500,20.607783
434,MpBrzeszKosc,PL0668A,"Brzeszcze, ul. Kościelna",,2017-01-01,2018-01-17,tło,miejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Brzeszcze,ul. Kościelna,49.966667,19.146061
435,MpBukowKolejMOB,PL0612A,"Bukowno, ul. Kolejowa",MpBukownWIOSKole1206,2015-01-01,2015-12-31,tło,miejski,mobilna,MAŁOPOLSKIE,Bukowno,ul. Kolejowa,50.266239,19.462286
436,MpChrzanWSSEGrzy0301,PL0303A,Chrzanów Grzybowskiego,,2001-01-01,2009-12-31,tło,miejski,w budynku,MAŁOPOLSKIE,Chrzanów,ul. Grzybowskiego 7,50.136944,19.397222
437,MpChrzaPlTysMOB,PL0637A,"Chrzanów, Pl. Tysiąclecia",,2016-01-01,2016-12-31,tło,miejski,mobilna,MAŁOPOLSKIE,Chrzanów,Pl. Tysiąclecia,50.144028,19.406556
438,MpDabrowWIOSZare0401,PL0627A,"Dabrowa Tarnowska, ul. Zaręby",,2014-01-01,2014-12-31,tło,miejski,mobilna,MAŁOPOLSKIE,Dąbrowa Tarnowska,ul. Zaręby,50.177519,20.984028
439,MpDobczSzkolMOB,PL0638A,"Dobczyce, ul. Szkolna",,2016-01-01,2016-12-31,tło,miejski,mobilna,MAŁOPOLSKIE,Dobczyce,ul. Szkolna,49.881108,20.100819
440,MpDobrowWSSEPils0401,,Dąbrowa Tarnowska Piłsudskiego,,2001-01-01,2004-12-31,tło,miejski,w budynku,MAŁOPOLSKIE,Dąbrowa Tarnowska,ul. Piłsudskiego 14,50.170833,20.983611
441,MpGorlicWSSELegi0501,PL0391A,Gorlice Legionów,,2001-01-01,2010-12-31,tło,miejski,w budynku,MAŁOPOLSKIE,Gorlice,ul. Legionów 12,49.655000,21.156111
442,MpGorlKrasin,PL0478A,"Gorlice, ul. Krasińskiego",MpGorlicWIOSKras0511,2009-01-01,,tło,miejski,wolnostojący pobornik pyłu,MAŁOPOLSKIE,Gorlice,ul. Krasińskiego,49.658889,21.163336
443,MpKalZebRyneMOB,PL0639A,"Kalwaria Zebrzydowska, Rynek",,2016-01-01,2016-12-31,tło,miejski,mobilna,MAŁOPOLSKIE,Kalwaria Zebrzydowska,Rynek,49.867344,19.676722
444,MpKaszowLisz,PL0640A,Kaszów,,2016-01-01,,tło,podmiejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Kaszów,ul. Bory,50.025028,19.726833
445,MpKetyWyspiaMOB,PL0613A,"Kęty, ul. Wyspiańskiego",MpKetyWIOSWysp1304,2015-01-01,2015-12-31,tło,miejski,mobilna,MAŁOPOLSKIE,Kęty,ul. Wyspiańskiego,49.876936,19.215600
446,MpKrakAlKras,PL0012A,"Kraków, Aleja Krasińskiego",MpKrakowWIOSAKra6117,2003-01-01,,komunikacyjna,miejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Kraków,al. Krasińskiego,50.057678,19.926189
447,MpKrakBujaka,PL0501A,"Kraków, ul. Bujaka",MpKrakowWIOSBuja6119,2010-01-01,,tło,miejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Kraków,ul. Bujaka,50.010575,19.949189
448,MpKrakBulwar,PL0039A,"Kraków, ul. Bulwarowa",MpKrakowWIOSBulw6118,2003-01-01,,przemysłowa,miejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Kraków,ul. Bulwarowa,50.069308,20.053492
449,MpKrakDietla,PL0641A,"Kraków, ul. Dietla",,2016-01-01,2024-01-31,komunikacyjna,miejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Kraków,ul. Dietla,50.057447,19.946008
450,MpKrakOsPias,PL0642A,"Kraków, os. Piastów",,2016-01-01,,tło,miejski,wolnostojący pobornik pyłu,MAŁOPOLSKIE,Kraków,os. Piastów,50.098508,20.018269
451,MpKrakowWIOSPrad6115,PL0038A,"Krowodrza-Kraków, szpital Jana Pawła II",,2003-01-01,2010-02-28,tło,miejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Kraków,ul. Prądnicka,50.087500,19.926111
452,MpKrakowWSSEKapi6108,PL0392A,Kraków Swoszowice Kąpielowa,,2003-01-01,2009-12-31,tło,miejski,w budynku,MAŁOPOLSKIE,Kraków,ul. Swoszowice Kąpielowa 70,49.991667,19.935000
453,MpKrakowWSSEPrad6102,,Krakow Pradnicka 76,,2003-01-01,2004-12-31,tło,miejski,w budynku,MAŁOPOLSKIE,Kraków,ul. Prądnicka 76,50.087500,19.938056
454,MpKrakowWSSERPod6113,,Kraków Rynek Podgórski,,2001-01-01,2004-12-31,tło,miejski,w budynku,MAŁOPOLSKIE,Kraków,ul. Rynek Podgórski,50.040000,19.943333
455,MpKrakSwoszo,PL0735A,"Kraków, os. Swoszowice",,2019-01-01,,tło,miejski,wolnostojący pobornik pyłu,MAŁOPOLSKIE,Kraków,ul. Lusińska,49.991442,19.936792
456,MpKrakTelime,PL0669A,"Kraków, ul. Telimeny",,2017-01-01,2018-06-01,tło,miejski,wolnostojący pobornik pyłu,MAŁOPOLSKIE,Kraków,ul. Telimeny 9,50.019036,20.016822
457,MpKrakWadow,PL0670A,"Kraków, os. Wadów",,2017-01-01,,przemysłowa,miejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Kraków,Wadów,50.100569,20.122561
458,MpKrakZloRog,PL0643A,"Kraków, ul. Złoty Róg",,2016-01-01,,tło,miejski,wolnostojący pobornik pyłu,MAŁOPOLSKIE,Kraków,Złoty Róg,50.081197,19.895358
459,MpKrynicDiet,PL0743A,"Krynica, ul. Bulwary Dietla",,2019-01-01,2021-02-22,tło,miejski,mobilna,MAŁOPOLSKIE,Krynica-Zdrój,ul. Bulwary Dietla,49.416978,20.956147
460,MpKrynicWIOSNowo1008,PL0479A,Krynica Nowotarskiego,,2009-01-01,2009-12-31,tło,miejski,mobilna,MAŁOPOLSKIE,Krynica-Zdrój,ul. Nowotarskiego,49.417778,20.957500
461,MpKrynicWIOSPark1009,PL0515A,"Krynica, ul. Park Sportowy",,2010-01-01,2010-12-31,tło,miejski,mobilna,MAŁOPOLSKIE,Krynica-Zdrój,ul. Park Sportowy,49.427533,20.951200
462,MpKrynicWSSENowo1002,,Krynica Nowotarskiego RWM,,2005-01-01,2008-12-31,tło,miejski,w budynku,MAŁOPOLSKIE,Krynica,ul. Nowotarskiego RWM,-999,-999
463,MpKrzeszWIOSKulc0605,,Krzeszowice Plac Kulczyńskiego,,2002-01-01,2002-12-31,tło,miejski,BRAK DANYCH,MAŁOPOLSKIE,Krzeszowice,pl. Kulczyńskiego 1,-999,-999
464,MpLimanoBoleMOB,PL0614A,"Limanowa, ul. Matki Bożej Bolesnej",MpLimanoWIOSMBBo0706,2015-01-01,2015-12-31,tło,miejski,mobilna,MAŁOPOLSKIE,Limanowa,Zygmunta Augusta,49.698525,20.424119
465,MpMaPodhWIOSKosc1508,PL0117A,Maków Podhalański,,2004-12-15,2010-12-31,tło,miejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Maków Podhalański,ul. Kościuszki 5,49.730278,19.681389
466,MpMiechoWIOSKono0802,PL0628A,"Miechów, ul. Konopnickiej",,2014-01-01,2014-12-31,tło,miejski,mobilna,MAŁOPOLSKIE,Miechów,ul. Konopnickiej,50.360036,20.038672
467,MpMiechoWIOSKsSk0801,,Miechów Księdza Skorupki,,2002-01-01,2003-12-31,tło,miejski,w budynku,MAŁOPOLSKIE,Miechów,ul. Księdza Skorupki 5,50.354722,20.024722
468,MpMszanaDoln,PL0784A,Mszana Dolna ul. Orkana,,2021-01-01,2021-12-10,tło,miejski,mobilna,MAŁOPOLSKIE,Mszana Dolna,ul. Orkana,49.672225,20.083092
469,MpMuszynKity,PL0685A,"Muszyna, ul. A. Kity 17",,2017-01-01,2018-01-17,tło,miejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Muszyna,ul. A. Kity,49.354447,20.894361
470,MpMuszynKityMOB,PL0644A,"Muszyna, ul. Kity",,2016-01-01,2016-12-31,tło,miejski,mobilna,MAŁOPOLSKIE,Muszyna,ul. Kity,49.354464,20.894375
471,MpMuszynLodoMOB,PL0820A,"Muszyna, Lodowisko",,2023-01-01,,tło,miejski,mobilna,MAŁOPOLSKIE,Muszyna,al. Zdrojowa,49.350042,20.890522
472,MpMuszynWSSERyne1001,PL0393A,Muszyna Rynek 14 Szkoła Podst.,,2001-01-01,2009-12-31,tło,miejski,w budynku,MAŁOPOLSKIE,Muszyna,ul. Rynek 14,49.353611,20.891944
473,MpMuszynZloc,PL0693A,Muszyna Złockie,,2018-01-01,2018-12-31,tło,pozamiejski,mobilna,MAŁOPOLSKIE,Złockie,Złockie 79,49.374147,20.879581
474,MpMyslenSoli,PL0806A,Myślenice,,2021-03-17,,tło,miejski,wolnostojący pobornik pyłu,MAŁOPOLSKIE,Myślenice,Solidarności 6,49.831237,19.923591
475,MpMyslenWIOSKazi0901,,Myslenice Kazimierza Wielkiego,,2002-01-01,2002-12-31,tło,miejski,BRAK DANYCH,MAŁOPOLSKIE,Myślenice,ul. Kazimierza Wielkiego 199,-999,-999
476,MpMyslenWIOSKosc0902,,Myślenice Kościuszki,,2002-01-01,2003-12-31,tło,miejski,w budynku,MAŁOPOLSKIE,Myślenice,ul. Kościuszki 16,49.826667,19.936389
477,MpMyslenWIOSRyne0905,,Mobilna Myślenice Rynek,,2004-08-09,2004-10-30,tło,miejski,mobilna,MAŁOPOLSKIE,Myślenice,ul. Rynek,49.835000,19.938056
478,MpMyslenWIOSRyne0906,PL0118A,Myślenice Rynek,,2004-12-16,2008-12-31,tło,miejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Myślenice,ul. Rynek,49.835000,19.938056
479,MpMysleRynekMOB,PL0615A,"Myślenice, Rynek",MpMyslenWIOSRyne0907,2015-01-01,2015-12-31,tło,miejski,mobilna,MAŁOPOLSKIE,Myślenice,Rynek,49.834922,19.938114
480,MpNiepo3Maja,PL0125A,"Niepołomice, ul. 3 Maja",MpWielicWIOSNiep1904,2003-01-01,,tło,miejski,wolnostojący pobornik pyłu,MAŁOPOLSKIE,Niepołomice,ul. 3 Maja,50.035117,20.212689
481,MpNiepolWIOSRyne1907,,Niepołomice Rynek mobilna,,2006-01-01,2007-01-31,tło,miejski,mobilna,MAŁOPOLSKIE,Niepołomice,ul. Rynek,-999,-999
482,MpNoSaczNadb,PL0550A,"Nowy Sącz, ul. Nadbrzeżna",MpNSaczWIOSNadb6205,2010-09-01,,tło,miejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Nowy Sącz,ul. Nadbrzeżna,49.619281,20.714403
483,MpNoSaczWSSENawo17a,,Nowy Sącz Nawojowska 17a,,2004-01-01,2004-12-31,tło,miejski,w budynku,MAŁOPOLSKIE,Nowy Sącz,ul. Nawojowska 17a,49.613889,20.704444
484,MpNoTargAlTy,PL0807A,"Nowy Targ, al. Tysiąclecia",,2021-12-08,,tło,miejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Nowy Targ,al. Tysiąclecia,49.476675,20.034878
485,MpNoTargPSlo,PL0671A,"Nowy Targ, Plac Słowackiego",,2016-03-21,2021-12-06,tło,miejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Nowy Targ,Plac Słowackiego,49.483597,20.028992
486,MpNoTargWSSESzaf1102,PL0304A,Nowy Targ Szaflarska,,2001-01-01,2009-12-31,tło,miejski,BRAK DANYCH,MAŁOPOLSKIE,Nowy Targ,ul. Szaflarska,49.474444,20.025833
487,MpNowyTaWIOSPows1114,PL0629A,"Nowy Targ, ul. Powstańców",,2014-01-01,2014-12-31,tło,miejski,mobilna,MAŁOPOLSKIE,Nowy Targ,ul. Powstańców,49.476097,20.026881
488,MpNSaczWIOSPija6204,PL0119A,"Nowy Sącz, Pijarska",,2003-08-20,2010-09-30,tło,miejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Nowy Sącz,ul. Pijarska,49.627222,20.688333
489,MpNSaczWSSETarn6202,PL0305A,Nowy Sącz Tarnowska 28,,2004-01-01,2009-12-31,tło,miejski,w budynku,MAŁOPOLSKIE,Nowy Sącz,ul. Tarnowska 28,49.635278,20.693056
490,MpOlkuCegiel,PL0754A,"Olkusz, ul. Cegielniana",,2019-01-01,,tło,miejski,wolnostojący pobornik pyłu,MAŁOPOLSKIE,Olkusz,ul. Cegielniana,50.284000,19.564044
491,MpOlkuFrNull,PL0306A,"Olkusz, ul. Francesco Nullo",MpOlkuszWIOSNull1205,2003-04-01,2018-04-16,tło,miejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Olkusz,ul. Francesco Nullo,50.277569,19.569869
492,MpOswiecBema,PL0694A,"Oświęcim, ul. J. Bema",,2018-01-01,,tło,miejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Oświęcim,ul. J. Bema,50.033083,19.245275
493,MpOswiecWIOSSnia1302,PL0630A,"Oświęcim, ul. Śniadeckiego",,2014-01-01,2014-12-31,tło,miejski,mobilna,MAŁOPOLSKIE,Oświęcim,ul. Śniadeckiego,50.035447,19.239331
494,MpOswiecWIOSSnia1304,,Oświęcim mobilna,,2005-01-01,2008-12-31,tło,miejski,mobilna,MAŁOPOLSKIE,Oświęcim,ul. Śniadeckiego,50.034167,19.245278
495,MpOswiecWSSEWiez1301,PL0307A,Oświęcim Więźniów Oświęcimia,,2001-01-01,2009-12-31,tło,miejski,w budynku,MAŁOPOLSKIE,Oświęcim,ul. Więźniów Oświęcimia 1,50.034167,19.200556
496,MpPiwnicWSSERyne1004,,Piwniczna Rynek 2,,2004-03-08,2005-12-31,tło,miejski,w budynku,MAŁOPOLSKIE,Piwniczna,ul. Rynek 2,49.437500,20.708611
497,MpPiwnZdrojoMOB,PL0645A,"Piwniczna-Zdrój, ul. Zdrojowa",,2016-01-01,2016-12-31,tło,miejski,mobilna,MAŁOPOLSKIE,Piwniczna,ul. Zdrojowa,49.444056,20.719889
498,MpProszoWIOS3Maj1402,,Proszowice UmiG,,2002-01-01,2003-12-31,tło,miejski,w budynku,MAŁOPOLSKIE,Proszowice,ul. 3 maja 72,50.188056,20.290000
499,MpProszWIOSKrol1404,PL0120A,"Proszowice, ul. Królewska",,2004-12-16,2014-12-31,tło,miejski,wolnostojący pobornik pyłu,MAŁOPOLSKIE,Proszowice,ul. Królewska 72,50.192181,20.299711
500,MpRabkaOrkan,PL0672A,"Rabka-Zdrój, ul. Orkana",,2017-01-01,,tło,miejski,wolnostojący pobornik pyłu,MAŁOPOLSKIE,Rabka-Zdrój,ul. Orkana,49.608647,19.966008
501,MpRabkaWIOSChop1113,PL0631A,"Rabka-Zdrój, ul. Chopina",,2014-01-01,2014-12-31,tło,miejski,mobilna,MAŁOPOLSKIE,Rabka-Zdrój,ul. Chopina,49.608753,19.965894
502,MpRabkaWIOSRudn1112,PL0480A,Rabka ul. Rudnika,,2009-01-01,2009-12-31,tło,miejski,mobilna,MAŁOPOLSKIE,Rabka-Zdrój,ul. prof. Rudnika,49.603611,19.967500
503,MpRabkaWSSEOrka1105,,Rabka Orkana,,2004-01-01,2007-01-31,tło,miejski,w budynku,MAŁOPOLSKIE,Rabka-Zdrój,ul. Orkana 28,-999,-999
504,MpSkawOsOgro,PL0273A,"Skawina, os. Ogrody",MpSkawinWIOSOsie0606,2003-01-01,,tło,miejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Skawina,os. Ogrody,49.971047,19.830422
505,MpSkawStudzi,PL0757A,"Skawina, ul. Studzińskiego",,2020-01-01,2021-12-16,przemysłowa,miejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Skawina,Studzińskiego,49.983361,19.839572
506,MpSlomWolnosMOB,PL0616A,"Słomniki, ul. Wolności",MpSlomniWIOSWoln0611,2015-01-01,2015-12-31,tło,miejski,mobilna,MAŁOPOLSKIE,Słomniki,ul. Wolności,50.243442,20.082194
507,MpSuchaBWIOSHand1512,PL0551A,"Sucha Beskidzka, ul. Handlowa",,2011-09-16,2014-12-31,tło,miejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Sucha Beskidzka,ul. Handlowa,49.740644,19.588325
508,MpSuchaNiesz,PL0646A,"Sucha Beskidzka, ul. Nieszczyńskiej",,2017-06-10,,tło,miejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Sucha Beskidzka,ul. Nieszczyńskiej,49.743131,19.600339
509,MpSuchaWIOSBeni1501,,Sucha Beskidzka Beniowskiego,,2002-01-01,2002-12-31,tło,miejski,BRAK DANYCH,MAŁOPOLSKIE,Sucha Beskidzka,ul. Beniowskiego 2,-999,-999
510,MpSuchaWIOSMick1502,,Sucha Beskidzka Mickiewicza LOK,,2003-01-01,2003-12-31,tło,miejski,w budynku,MAŁOPOLSKIE,Sucha Beskidzka,ul. Miskiewicza 9,49.738333,19.592778
511,MpSuchSemika,PL0617A,"Sucha Beskidzka, ul. Semika",MpSuchaBWIOSSemi1513,2015-01-01,2015-12-31,tło,miejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Sucha Beskidzka,ul. Semika,49.740711,19.592275
512,MpSzarowSpok,PL0618A,"Szarów, ul. Spokojna",MpSzarowWIOS1909,2015-05-04,,tło,podmiejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Szarów,ul. Spokojna,50.007500,20.259167
513,MpSzarowWIOS1901,,Szarów1901,,2002-01-01,2002-12-31,tło,podmiejski,BRAK DANYCH,MAŁOPOLSKIE,Szarów,ul. Szarów 241,-999,-999
514,MpSzarowWIOS1908,PL0487A,Szarów,,2009-01-01,2015-12-31,tło,podmiejski,w budynku,MAŁOPOLSKIE,Szarów,,50.007014,20.258475
515,MpSzczawJanaMOB,PL0619A,"Szczawnica, ul. Jana Wiktora",MpSzczawWIOSSzal1116,2015-01-01,2015-12-31,tło,miejski,mobilna,MAŁOPOLSKIE,Szczawnica,ul. Jana Wiktora,49.425886,20.484947
516,MpSzczawParkMOB,PL0808A,"Szczawnica, Park Dolny",,2021-12-15,2022-12-08,tło,miejski,mobilna,MAŁOPOLSKIE,Szczawnica,Park Dolny,49.427089,20.478381
517,MpSzymbaGorl,PL0121A,Szymbark,MpSzymbaWIOS0507,2004-11-01,,tło,pozamiejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Szymbark,Szymbark 430,49.633714,21.116833
518,MpTarBitStud,PL0502A,"Tarnów, ul. Bitwy pod Studziankami",MpTarnowWIOSBitw6304,2010-01-01,,tło,miejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Tarnów,ul. Bitwy pod Studziankami,50.020169,21.004167
519,MpTarnowWIOSSoli6303,PL0122A,Tarnów Al. Solidarności,,2001-01-01,2009-12-31,tło,miejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Tarnów,al. Solidarności,50.016111,20.983611
520,MpTarnowWSSEMosc6301,,Tarnów ul.Mościckiego 10,,2001-01-01,2005-12-31,tło,miejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Tarnów,ul. Mościckiego 10,50.006667,20.975278
521,MpTarnowWSSEWest6302,,Tarnów Westerplatte,,2003-01-01,2008-12-31,tło,miejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Tarnów,ul. Westerplatte 10,50.023333,21.005000
522,MpTarRoSitko,PL0647A,"Tarnów, ul. Ks. Romana Sitko",,2016-01-01,,komunikacyjna,miejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Tarnów,ul. Ks. Romana Sitko,50.018253,20.992578
523,MpTrzebiWIOSPils0303,PL0123A,Trzebinia,,2004-01-23,2010-08-31,przemysłowa,miejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Trzebinia,ul. Piłsudskiego,50.160833,19.472778
524,MpTrzebOsZWM,PL0552A,"Trzebinia, os. Związku Walki Młodych",MpTrzebiWIOSZWM0305,2010-01-01,,tło,miejski,kontenerowa stacjonarna,MAŁOPOLSKIE,Trzebinia,os. Widokowe (dawne os. ZWM),50.159406,19.477464
525,MpTuchChopin,PL0481A,"Tuchów, ul. Chopina",MpTuchowWIOSSzop1602,2009-01-01,,tło,miejski,wolnostojący pobornik pyłu,MAŁOPOLSKIE,Tuchów,ul. Chopina,49.894169,21.051061
526,MpWadowiBalyMOB,PL0809A,"Wadowice, ul. Bałysa",,2021-12-27,2023-12-11,tło,miejski,mobilna,MAŁOPOLSKIE,Wadowice,ul. Bałysa,49.872364,19.497467
527,MpWadowiWIOSPSka1805,PL0124A,"Wadowice, os. Pod Skarpą",,2004-12-16,2014-12-31,tło,miejski,wolnostojący pobornik pyłu,MAŁOPOLSKIE,Wadowice,os. Pod Skarpą,49.872761,19.497942
528,MpWadowiWIOSPska1807,,wadowice mobilna,,2005-01-01,2008-12-31,tło,miejski,mobilna,MAŁOPOLSKIE,Wadowice,os. Pod Skarpą,49.871944,19.498333
529,MpWadowiWIOSTeat1802,,Wadowice Teatralna,,2002-01-01,2003-12-31,tło,miejski,w budynku,MAŁOPOLSKIE,Wadowice,ul. Teatralna 1,49.884722,19.489722
530,MpWielDembowMOB,PL0648A,"Wieliczka, ul. Dembowskiego",,2016-01-01,2016-12-31,tło,miejski,mobilna,MAŁOPOLSKIE,Wieliczka,ul. Dembowskiego,49.988250,20.059000
531,MpWielicWIOSOSP1902,,Wieliczka OSP,,2002-01-01,2003-12-31,tło,miejski,w budynku,MAŁOPOLSKIE,Wieliczka,ul. OSP Plac Targowy,49.975833,20.057778
532,MpWolbroWIOSFabr1204,,Wolbrom Fabryczna,,2002-01-01,2003-10-31,tło,miejski,BRAK DANYCH,MAŁOPOLSKIE,Wolbrom,ul. Fabryczna 46,-999,-999
533,MpWysowaWSSE0502,,Uście Gorlickie Wysowa,,2000-01-01,2004-12-31,tło,pozamiejski,w budynku,MAŁOPOLSKIE,Uście Gorlickie Wysowa,ul. Wysowa,49.424722,21.176389
