Nr,Kod stacji,Kod międzynarodowy,Nazwa stacji,"Stary Kod stacji (o ile inny od aktualnego)",Data uruchomienia,Data zamknięcia,Typ stacji,Typ obszaru,Rodzaj stacji,Województwo,Miejscowość,Adres,WGS84 φ N,WGS84 λ E
1009,WpKaliSawick,PL0503A,"Kalisz, ul. Wyszyńskiego",WpWKPKalisz007/10,2010-01-01,,tło,miejski,kontenerowa stacjonarna,WIELKOPOLSKIE,Kalisz,ul. Wyszyńskiego,51.747950,18.049063
1010,WpKalisz25001,,"Kalisz, ul. Serbinowska 5",,2003-04-14,2004-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Kalisz,ul. Serbinowska 5,-999,-999
1011,WpKalisz25002,,"Kalisz, ul. Nowy Świat 2a",,2003-04-14,2005-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Kalisz,ul. Nowy Świat 2a,-999,-999
1012,WpKaliszMajkow,PL0464A,"Kalisz, ul. Tuwima 4",,2003-04-25,2009-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Kalisz,ul. Tuwima 4,51.775000,18.080556
1013,WpKaliszPM10,PL0178A,"Kalisz, ul. Nowy Świat 2aPM10",,2007-01-01,2009-12-31,tło,miejski,BRAK DANYCH,WIELKOPOLSKIE,Kalisz,ul. Nowy Świat 2a,51.757222,18.086667
1014,WpKaliszRynek251010,,"Kalisz, Rynek Główny",,2003-04-25,2004-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Kalisz,ul. Rynek Główny 20,-999,-999
1015,WpKolo31186,,"Koło, ul. Sportowa",,2003-04-14,2004-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Koło,ul. Sportowa,-999,-999
1016,WpKonin31017,,"Konin, ul. Wieniawskiego 8",,2003-04-25,2004-12-31,tło,miejski,kontenerowa stacjonarna,WIELKOPOLSKIE,Konin,ul. Wieniawskiego 8,-999,-999
1017,WpKonin31018,,"Konin, ul. Leśna 23",,2003-04-14,2004-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Konin,ul. Leśna 21,-999,-999
1018,WpKoninStaszica,,"Konin, ul. Staszica 16",,2004-03-01,2005-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Konin,ul. Staszica 16,-999,-999
1019,WpKoniWyszyn,PL0031A,"Konin, ul. Wyszyńskiego",WpKonin311009D009102,2003-03-03,,tło,miejski,kontenerowa stacjonarna,WIELKOPOLSKIE,Konin,ul. Wyszyńskiego 3,52.225650,18.268927
1020,WpKoscian41251,,"Kościan, ul Piaskowa 42a",,2003-04-22,2004-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Kościan,ul. Piaskowa 42a,-999,-999
1021,WpKoscianMayMOB,PL0848A,"Kościan, ul. Maya",,2023-02-16,,tło,miejski,mobilna,WIELKOPOLSKIE,Kościan,ul. Maya,52.090436,16.636381
1022,WpKozieosLes,PL0700A,"Koziegłowy, os.Leśne",,2018-01-01,,tło,miejski,kontenerowa stacjonarna,WIELKOPOLSKIE,Koziegłowy,osiedle Leśne 22,52.449295,16.999634
1023,WpKrotoszyn25315,,"Krotoszyn, ul. Floriańska 10",,2003-04-14,2005-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Krotoszyn,ul. Floriańska 10,-999,-999
1024,WpLeszKiepur,PL0570A,"Leszno, ul. Kiepury",WpLesznoPM10/11,2011-11-01,2023-12-07,tło,miejski,wolnostojący pobornik pyłu,WIELKOPOLSKIE,Leszno,ul. Kiepury 45,51.840461,16.605044
1025,WpLeszno411000,PL0465A,"Leszno, ul Paderewskiego 8",,2003-01-01,2011-10-31,tło,miejski,kontenerowa stacjonarna,WIELKOPOLSKIE,Leszno,ul. Paderewskiego,51.847778,16.574722
1026,WpLeszno41501,,"Leszno, ul. Krótka 5",,2003-04-22,2004-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Leszno,ul. Krótka 5,-999,-999
1027,WpLesznoOkrezna,,"Leszno, ul. Okrężna",,2005-01-01,2005-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Leszno,ul. Okrężna,51.492653,16.345727
1028,WpLubon63217,,"Luboń, ul. Powstańców Wlkp 42",,2003-01-02,2005-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Luboń,ul. Powstańców Wlkp,-999,-999
1029,WpMosinaCzer,PL0798A,"Mosina, ul. Czereśniowa",,2020-11-16,,tło,miejski,kontenerowa stacjonarna,WIELKOPOLSKIE,Mosina,ul. Czereśniowa 4,52.241497,16.865125
1030,WpNoTomSzpit,PL0571A,"Nowy Tomyśl, ul. Sienkiewicza",WpNowyTomyslPM10/11,2012-01-01,,tło,miejski,wolnostojący pobornik pyłu,WIELKOPOLSKIE,Nowy Tomyśl,ul. Szpitalna,52.316748,16.142154
1031,WpNoweSkalmierzyce,,"Nowe Skalmierzyce, ul. Okólna 8",,2002-06-01,2003-12-18,tło,miejski,w budynku,WIELKOPOLSKIE,Nowe Skalmierzyce,ul. Okólna 8,-999,-999
1032,WpNTomysl63700,,"Nowy Tomyśl, ul. Poznańska 30",,2003-01-01,2004-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Nowy Tomyśl,ul. Poznańska,-999,-999
